sep=,
"Time","active_db_connections saturation","cpu saturation","disk_space saturation","memory saturation","open_fds saturation","open_ruby_fds saturation","redis_clients saturation","single_node_cpu saturation","single_threaded_cpu saturation"
2023-01-03 21:45:00,,,,,,,,,
2023-01-03 22:00:00,,,,,,,,,
2023-01-03 22:15:00,,,,,,,,,
2023-01-03 22:30:00,,,,,,,,,
2023-01-03 22:45:00,,,,,,,,,
2023-01-03 23:00:00,,,,,,,,,
2023-01-03 23:15:00,,,,,,,,,
2023-01-03 23:30:00,,,,,,,,,
2023-01-03 23:45:00,,,,,,,,,
2023-01-04 00:00:00,,,,,,,,,
2023-01-04 00:15:00,,,,,,,,,
2023-01-04 00:30:00,,,,,,,,,
2023-01-04 00:45:00,,,,,,,,,
2023-01-04 01:00:00,,,,,,,,,
2023-01-04 01:15:00,,,,,,,,,
2023-01-04 01:30:00,,,,,,,,,
2023-01-04 01:45:00,,,,,,,,,
2023-01-04 02:00:00,,,,,,,,,
2023-01-04 02:15:00,,,,,,,,,
2023-01-04 02:30:00,,,,,,,,,
2023-01-04 02:45:00,,,,,,,,,
2023-01-04 03:00:00,,,,,,,,,
2023-01-04 03:15:00,,,,,,,,,
2023-01-04 03:30:00,,,,,,,,,
2023-01-04 03:45:00,,,,,,,,,
2023-01-04 04:00:00,,,,,,,,,
2023-01-04 04:15:00,,,,,,,,,
2023-01-04 04:30:00,,,,,,,,,
2023-01-04 04:45:00,,,,,,,,,
2023-01-04 05:00:00,0.143,0.650,0.339,0.641,0.00127,0.00182,0.00800,0.650,0.0153
2023-01-04 05:15:00,0.160,0.608,0.342,0.766,0.0305,0.00284,0.00930,0.608,0.0186
2023-01-04 05:30:00,0.100,0.674,0.348,0.753,0.0297,0.00328,0.00970,0.674,0.0206
2023-01-04 05:45:00,0.143,0.719,0.357,0.760,0.0329,0.00418,0.00980,0.719,0.0266
2023-01-04 06:00:00,0.205,0.692,0.363,0.756,0.0306,0.00586,0.0107,0.692,0.0241
2023-01-04 06:15:00,0.138,0.511,0.368,0.748,0.0171,0.00498,0.00980,0.511,0.0230
2023-01-04 06:30:00,0.0690,0.512,0.374,0.747,0.0169,0.00494,0.0106,0.512,0.0240
2023-01-04 06:45:00,0.0789,0.501,0.377,0.748,0.0173,0.00538,0.0105,0.501,0.0250
2023-01-04 07:00:00,0.0857,0.502,0.380,0.759,0.0159,0.00484,0.0111,0.502,0.0246
2023-01-04 07:15:00,0.0909,0.509,0.386,0.751,0.0159,0.00454,0.0116,0.509,0.0256
2023-01-04 07:30:00,0.0513,0.506,0.393,0.746,0.0187,0.00528,0.0112,0.506,0.0260
2023-01-04 07:45:00,0.115,0.502,0.400,0.744,0.0170,0.00498,0.0112,0.502,0.0258
2023-01-04 08:00:00,0.0714,0.513,0.404,0.749,0.0183,0.00538,0.0112,0.513,0.0262
2023-01-04 08:15:00,0.0882,0.505,0.411,0.743,0.0175,0.00506,0.0103,0.505,0.0247
2023-01-04 08:30:00,0.103,0.506,0.414,0.743,0.0187,0.00510,0.0100,0.506,0.0249
2023-01-04 08:45:00,0.0732,0.492,0.420,0.755,0.0171,0.00492,0.00960,0.492,0.0242
2023-01-04 09:00:00,0.188,0.414,0.424,0.754,0.00147,0.00532,0.00930,0.414,0.0156
2023-01-04 09:15:00,0.143,0.411,0.429,0.760,0.00147,0.00438,0.00830,0.411,0.0148
2023-01-04 09:30:00,0.143,0.411,0.432,0.759,0.00147,0.00320,0.00780,0.411,0.0141
2023-01-04 09:45:00,0.231,0.415,0.436,0.758,0.00147,0.00314,0.00760,0.415,0.0143
2023-01-04 10:00:00,0.154,0.417,0.440,0.764,0.00147,0.00324,0.00750,0.417,0.0135
2023-01-04 10:15:00,0.214,0.415,0.444,0.768,0.00147,0.00330,0.00790,0.415,0.0131
2023-01-04 10:30:00,0.273,0.418,0.447,0.772,0.00147,0.00316,0.00720,0.418,0.0136
2023-01-04 10:45:00,0.182,0.417,0.451,0.769,0.00147,0.00316,0.00810,0.417,0.0136
2023-01-04 11:00:00,0.250,0.419,0.453,0.768,0.00147,0.00312,0.00830,0.419,0.0128
2023-01-04 11:15:00,0.273,0.416,0.454,0.774,0.00147,0.00322,0.00810,0.416,0.0127
