sep=,
"Time","active_db_connections saturation","cpu saturation","disk_space saturation","memory saturation","open_fds saturation","open_ruby_fds saturation","redis_clients saturation","single_node_cpu saturation","single_threaded_cpu saturation"
2023-01-05 20:30:00,,,,,,,,,
2023-01-05 20:45:00,,,,,,,,,
2023-01-05 21:00:00,,,,,,,,,
2023-01-05 21:15:00,,,,,,,,,
2023-01-05 21:30:00,,,,,,,,,
2023-01-05 21:45:00,,,,,,,,,
2023-01-05 22:00:00,,,,,,,,,
2023-01-05 22:15:00,,,,,,,,,
2023-01-05 22:30:00,,,,,,,,,
2023-01-05 22:45:00,,,,,,,,,
2023-01-05 23:00:00,,,,,,,,,
2023-01-05 23:15:00,,,,,,,,,
2023-01-05 23:30:00,,,,,,,,,
2023-01-05 23:45:00,,,,,,,,,
2023-01-06 00:00:00,,,,,,,,,
2023-01-06 00:15:00,,,,,,,,,
2023-01-06 00:30:00,,,,,,,,,
2023-01-06 00:45:00,,,,,,,,,
2023-01-06 01:00:00,,,,,,,,,
2023-01-06 01:15:00,,,,,,,,,
2023-01-06 01:30:00,,,,,,,,,
2023-01-06 01:45:00,,,,,,,,,
2023-01-06 02:00:00,,,,,,,,,
2023-01-06 02:15:00,,,,,,,,,
2023-01-06 02:30:00,,,,,,,,,
2023-01-06 02:45:00,,,,,,,,,
2023-01-06 03:00:00,,,,,,,,,
2023-01-06 03:15:00,,,,,,,,,
2023-01-06 03:30:00,,,,,,,,,
2023-01-06 03:45:00,,,,,,,,,
2023-01-06 04:00:00,,,,,,,,,
2023-01-06 04:15:00,,,,,,,,,
2023-01-06 04:30:00,,,,,,,,,
2023-01-06 04:45:00,,,,,,,,,
2023-01-06 05:00:00,,,,,,,,,
2023-01-06 05:15:00,,,,,,,,,
2023-01-06 05:30:00,,,,,,,,,
2023-01-06 05:45:00,,,,,,,,,
2023-01-06 06:00:00,,,,,,,,,
2023-01-06 06:15:00,,,,,,,,,
2023-01-06 06:30:00,,,,,,,,,
2023-01-06 06:45:00,,,,,,,,,
2023-01-06 07:00:00,,,,,,,,,
2023-01-06 07:15:00,,,,,,,,,
2023-01-06 07:30:00,,,,,,,,,
2023-01-06 07:45:00,,,,,,,,,
2023-01-06 08:00:00,,,,,,,,,
2023-01-06 08:15:00,,,,,,,,,
2023-01-06 08:30:00,,,,,,,,,
2023-01-06 08:45:00,,,,,,,,,
2023-01-06 09:00:00,,,,,,,,,
2023-01-06 09:15:00,,,,,,,,,
2023-01-06 09:30:00,,,,,,,,,
2023-01-06 09:45:00,,,,,,,,,
2023-01-06 10:00:00,,,,,,,,,
2023-01-06 10:15:00,,,,,,,,,
2023-01-06 10:30:00,,,,,,,,,
2023-01-06 10:45:00,,,,,,,,,
2023-01-06 11:00:00,,,,,,,,,
2023-01-06 11:15:00,,,,,,,,,
2023-01-06 11:30:00,0.500,0.424,0.339,0.567,0.00127,0.00186,0.00680,0.424,0.0154
2023-01-06 11:45:00,0.176,0.611,0.341,0.760,0.0282,0.00342,0.00930,0.611,0.0191
2023-01-06 12:00:00,0.118,0.679,0.347,0.748,0.0311,0.00360,0.00980,0.679,0.0204
2023-01-06 12:15:00,0.121,0.719,0.355,0.753,0.0325,0.00346,0.00990,0.719,0.0213
2023-01-06 12:30:00,0.155,0.692,0.364,0.761,0.0321,0.00410,0.0113,0.692,0.0276
2023-01-06 12:45:00,0.0811,0.676,0.372,0.771,0.0309,0.00440,0.0112,0.676,0.0249
2023-01-06 13:00:00,0.111,0.682,0.376,0.758,0.0306,0.00386,0.00970,0.682,0.0229
2023-01-06 13:15:00,0.0938,0.695,0.381,0.755,0.0298,0.00334,0.00990,0.695,0.0236
2023-01-06 13:30:00,0.125,0.672,0.388,0.774,0.0299,0.00344,0.00990,0.672,0.0235
2023-01-06 13:45:00,0.130,0.677,0.396,0.773,0.0297,0.00330,0.00900,0.677,0.0236
2023-01-06 14:00:00,0.154,0.654,0.400,0.770,0.0287,0.00350,0.00940,0.654,0.0229
2023-01-06 14:15:00,0.273,0.410,0.403,0.740,0.00147,0.00362,0.00780,0.410,0.0147
2023-01-06 14:30:00,0.250,0.411,0.408,0.751,0.00147,0.00312,0.00850,0.411,0.0144
2023-01-06 14:45:00,0.250,0.414,0.413,0.758,0.00147,0.00314,0.00790,0.414,0.0134
2023-01-06 15:00:00,0.200,0.414,0.417,0.777,0.00147,0.00312,0.00780,0.414,0.0141
2023-01-06 15:15:00,0.214,0.418,0.421,0.789,0.00147,0.00322,0.00800,0.418,0.0137
2023-01-06 15:30:00,0.182,0.420,0.425,0.786,0.00147,0.00314,0.00830,0.420,0.0131
2023-01-06 15:45:00,0.167,0.418,0.429,0.794,0.00147,0.00310,0.00850,0.418,0.0132
2023-01-06 16:00:00,0.273,0.416,0.434,0.798,0.00147,0.00308,0.00790,0.416,0.0131
2023-01-06 16:15:00,0.182,0.423,0.436,0.807,0.00147,0.00320,0.00760,0.423,0.0133
2023-01-06 16:30:00,0.182,0.420,0.438,0.807,0.00147,0.00312,0.00810,0.420,0.0130
2023-01-06 16:45:00,0.182,0.422,0.442,0.818,0.00147,0.00308,0.00710,0.422,0.0130
2023-01-06 17:00:00,0.250,0.425,0.446,0.833,0.00147,0.00310,0.00840,0.425,0.0129
2023-01-06 17:15:00,0.273,0.433,0.450,0.844,0.00147,0.00322,0.00720,0.433,0.0127
2023-01-06 17:30:00,0.273,0.433,0.454,0.842,0.00147,0.00310,0.00820,0.433,0.0132
2023-01-06 17:45:00,0.167,0.437,0.458,0.788,0.00147,0.00310,0.00830,0.437,0.0129
2023-01-06 18:00:00,0.167,0.438,0.462,0.790,0.00147,0.00308,0.00780,0.438,0.0131
2023-01-06 18:15:00,0.273,0.437,0.466,0.787,0.00147,0.00322,0.00810,0.437,0.0127
2023-01-06 18:30:00,0.273,0.438,0.470,0.789,0.00147,0.00314,0.00810,0.438,0.0128
2023-01-06 18:45:00,0.231,0.441,0.474,0.793,0.00147,0.00314,0.00830,0.441,0.0129
2023-01-06 19:00:00,0.250,0.443,0.477,0.789,0.00147,0.00312,0.00720,0.443,0.0129
2023-01-06 19:15:00,0.250,0.451,0.479,0.786,0.00147,0.00324,0.00830,0.451,0.0133
2023-01-06 19:30:00,0.167,0.446,0.483,0.781,0.00147,0.00326,0.00830,0.446,0.0129
2023-01-06 19:45:00,0.273,0.446,0.487,0.788,0.00147,0.00320,0.00780,0.446,0.0129
2023-01-06 20:00:00,0.273,0.448,0.491,0.783,0.00147,0.00326,0.00750,0.448,0.0128
2023-01-06 20:15:00,0.273,0.461,0.492,0.786,0.00147,0.00322,0.00770,0.461,0.0125
2023-01-06 20:30:00,0.273,0.451,0.494,0.784,0.00147,0.00306,0.00710,0.451,0.0130
2023-01-06 20:45:00,0.182,0.452,0.498,0.788,0.00147,0.00308,0.00810,0.452,0.0126
2023-01-06 21:00:00,0.250,0.454,0.502,0.784,0.00147,0.00314,0.00820,0.454,0.0124
2023-01-06 21:15:00,0.182,0.456,0.506,0.790,0.00147,0.00344,0.00890,0.456,0.0125
2023-01-06 21:30:00,0.273,0.459,0.510,0.789,0.00147,0.00330,0.00780,0.459,0.0122
2023-01-06 21:45:00,0.273,0.459,0.514,0.787,0.00147,0.00320,0.00800,0.459,0.0122
2023-01-06 22:00:00,0.273,0.464,0.517,0.789,0.00147,0.00318,0.00790,0.464,0.0122
2023-01-06 22:15:00,0.200,0.464,0.521,0.786,0.00147,0.00340,0.00810,0.464,0.0122
2023-01-06 22:30:00,0.200,0.463,0.525,0.785,0.00147,0.00324,0.00830,0.463,0.0120
2023-01-06 22:45:00,0.250,0.464,0.529,0.787,0.00147,0.00322,0.00840,0.464,0.0118
2023-01-06 23:00:00,0.231,0.467,0.532,0.789,0.00147,0.00328,0.00770,0.467,0.0123
2023-01-06 23:15:00,0.182,0.471,0.533,0.787,0.00147,0.00328,0.00800,0.471,0.0122
2023-01-06 23:30:00,0.250,0.472,0.537,0.788,0.00147,0.00330,0.00810,0.472,0.0119
2023-01-06 23:45:00,0.182,0.471,0.541,0.790,0.00147,0.00334,0.00730,0.471,0.0118
2023-01-07 00:00:00,0.273,0.475,0.544,0.790,0.00153,0.00318,0.00790,0.475,0.0120
2023-01-07 00:15:00,0.273,0.480,0.548,0.794,0.00153,0.00332,0.00830,0.480,0.0119
2023-01-07 00:30:00,0.200,0.474,0.549,0.727,0.00147,0.00332,0.00820,0.474,0.0118
2023-01-07 00:45:00,0.273,0.566,0.550,0.733,0.00120,0.00318,0.00760,0.566,0.0118
2023-01-07 01:00:00,0.167,0.476,0.500,0.715,0.00120,0.00306,0.00720,0.476,0.0120
2023-01-07 01:15:00,0.182,0.476,0.504,0.729,0.00120,0.00332,0.00790,0.476,0.0120
2023-01-07 01:30:00,0.214,0.476,0.507,0.725,0.00120,0.00324,0.00850,0.476,0.0119
2023-01-07 01:45:00,0.182,0.479,0.511,0.733,0.00120,0.00324,0.00770,0.479,0.0118
2023-01-07 02:00:00,0.182,0.480,0.515,0.734,0.00120,0.00320,0.00730,0.480,0.0117
2023-01-07 02:15:00,0.167,0.549,0.521,0.738,0.00120,0.00326,0.00740,0.549,0.0118
2023-01-07 02:30:00,0.167,0.485,0.524,0.741,0.00120,0.00324,0.00840,0.485,0.0120
2023-01-07 02:45:00,0.182,0.483,0.528,0.737,0.00120,0.00318,0.00810,0.483,0.0116
2023-01-07 03:00:00,0.300,0.483,0.531,0.737,0.00120,0.00316,0.00830,0.483,0.0118
2023-01-07 03:15:00,0.200,0.488,0.532,0.745,0.00120,0.00322,0.00850,0.488,0.0118
2023-01-07 03:30:00,0.250,0.487,0.536,0.744,0.00120,0.00328,0.00820,0.487,0.0120
2023-01-07 03:45:00,0.214,0.489,0.539,0.745,0.00120,0.00328,0.00770,0.489,0.0115
2023-01-07 04:00:00,0.273,0.491,0.543,0.747,0.00120,0.00314,0.00750,0.491,0.0114
2023-01-07 04:15:00,0.273,0.490,0.546,0.750,0.00120,0.00314,0.00780,0.490,0.0116
2023-01-07 04:30:00,0.273,0.494,0.550,0.753,0.00120,0.00324,0.00750,0.494,0.0116
2023-01-07 04:45:00,0.182,0.499,0.553,0.755,0.00120,0.00322,0.00840,0.499,0.0115
2023-01-07 05:00:00,0.273,0.501,0.554,0.753,0.00120,0.00318,0.00810,0.501,0.0118
2023-01-07 05:15:00,0.182,0.498,0.556,0.756,0.00120,0.00324,0.00820,0.498,0.0120
2023-01-07 05:30:00,0.182,0.501,0.560,0.756,0.00120,0.00320,0.00800,0.501,0.0117
2023-01-07 05:45:00,0.182,0.502,0.563,0.755,0.00120,0.00318,0.00830,0.502,0.0119
2023-01-07 06:00:00,0.231,0.503,0.567,0.757,0.00120,0.00322,0.00820,0.503,0.0117
2023-01-07 06:15:00,0.182,0.509,0.570,0.759,0.00120,0.00320,0.00830,0.509,0.0115
2023-01-07 06:30:00,0.188,0.504,0.574,0.760,0.00120,0.00324,0.00760,0.504,0.0118
2023-01-07 06:45:00,0.167,0.703,0.588,0.761,0.00120,0.00328,0.00820,0.703,0.0118
2023-01-07 07:00:00,0.231,0.511,0.591,0.752,0.00120,0.00320,0.00840,0.511,0.0115
2023-01-07 07:15:00,0.250,0.509,0.592,0.758,0.00120,0.00336,0.00810,0.509,0.0120
2023-01-07 07:30:00,0.250,0.506,0.595,0.762,0.00120,0.00326,0.00740,0.506,0.0116
2023-01-07 07:45:00,0.200,0.525,0.599,0.757,0.00120,0.00318,0.00840,0.525,0.0117
2023-01-07 08:00:00,0.182,0.528,0.602,0.758,0.00120,0.00318,0.00820,0.528,0.0115
2023-01-07 08:15:00,0.182,0.514,0.606,0.757,0.00120,0.00324,0.00770,0.514,0.0117
2023-01-07 08:30:00,0.167,0.514,0.609,0.754,0.00120,0.00324,0.00850,0.514,0.0118
2023-01-07 08:45:00,0.214,0.517,0.613,0.758,0.00120,0.00324,0.00760,0.517,0.0115
2023-01-07 09:00:00,0.231,0.515,0.616,0.760,0.00120,0.00318,0.00720,0.515,0.0118
2023-01-07 09:15:00,0.167,0.519,0.620,0.769,0.00120,0.00324,0.00740,0.519,0.0120
2023-01-07 09:30:00,0.154,0.524,0.622,0.755,0.00120,0.00314,0.00830,0.524,0.0115
2023-01-07 09:45:00,0.250,0.531,0.623,0.759,0.00120,0.00316,0.00830,0.531,0.0116
2023-01-07 10:00:00,0.214,0.521,0.626,0.763,0.00120,0.00324,0.00830,0.521,0.0117
2023-01-07 10:15:00,0.250,0.525,0.630,0.761,0.00120,0.00342,0.00830,0.525,0.0115
2023-01-07 10:30:00,0.231,0.527,0.633,0.759,0.00120,0.00322,0.00850,0.527,0.0113
2023-01-07 10:45:00,0.167,0.528,0.637,0.762,0.00120,0.00324,0.00820,0.528,0.0114
2023-01-07 11:00:00,0.200,0.530,0.640,0.766,0.00120,0.00310,0.00730,0.530,0.0118
2023-01-07 11:15:00,0.182,0.531,0.640,0.760,0.00120,0.00324,0.00800,0.531,0.0116
2023-01-07 11:30:00,0.273,0.543,0.643,0.761,0.00120,0.00302,0.00730,0.543,0.0118
2023-01-07 11:45:00,0.167,0.534,0.641,0.764,0.00120,0.00318,0.00840,0.534,0.0118
2023-01-07 12:00:00,0.214,0.539,0.645,0.759,0.00120,0.00316,0.00760,0.539,0.0114
2023-01-07 12:15:00,0.167,0.545,0.648,0.767,0.00120,0.00330,0.00800,0.545,0.0113
2023-01-07 12:30:00,0.200,0.587,0.651,0.773,0.00133,0.00328,0.00790,0.587,0.0124
2023-01-07 12:45:00,0.231,0.540,0.655,0.768,0.00120,0.00318,0.00840,0.540,0.0112
2023-01-07 13:00:00,0.231,0.537,0.658,0.765,0.00120,0.00320,0.00740,0.537,0.0113
2023-01-07 13:15:00,0.214,0.538,0.661,0.777,0.00120,0.00342,0.00810,0.538,0.0117
2023-01-07 13:30:00,0.231,0.571,0.665,0.760,0.00120,0.00322,0.00840,0.571,0.0123
2023-01-07 13:45:00,0.182,0.545,0.668,0.756,0.00120,0.00320,0.00840,0.545,0.0116
2023-01-07 14:00:00,0.154,0.570,0.672,0.766,0.00120,0.00320,0.00820,0.570,0.0116
2023-01-07 14:15:00,0.182,0.571,0.675,0.759,0.00120,0.00344,0.00880,0.571,0.0111
2023-01-07 14:30:00,0.200,0.550,0.678,0.757,0.00120,0.00328,0.00850,0.550,0.0112
2023-01-07 14:45:00,0.182,0.550,0.682,0.776,0.00120,0.00330,0.00800,0.550,0.0112
2023-01-07 15:00:00,0.200,0.120,0.682,0.770,0.00120,0.00320,0.00680,0.120,0.0226
2023-01-07 15:15:00,0.182,0.121,0.682,0.783,0.00120,0.00326,0.00760,0.121,0.0204
2023-01-07 15:30:00,0.200,0.119,0.680,0.778,0.00120,0.00328,0.00740,0.119,0.0215
2023-01-07 15:45:00,0.200,0.121,0.680,0.780,0.00120,0.00328,0.00740,0.121,0.0216
2023-01-07 16:00:00,0.222,0.120,0.680,0.776,0.00120,0.00324,0.00780,0.120,0.0207
2023-01-07 16:15:00,0.200,0.120,0.680,0.783,0.00120,0.00332,0.00800,0.120,0.0210
2023-01-07 16:30:00,0.200,0.119,0.681,0.778,0.00120,0.00328,0.00760,0.119,0.0206
2023-01-07 16:45:00,0.200,0.120,0.681,0.783,0.00120,0.00324,0.00770,0.120,0.0211
2023-01-07 17:00:00,0.222,0.118,0.681,0.784,0.00120,0.00322,0.00730,0.118,0.0211
2023-01-07 17:15:00,0.200,0.119,0.682,0.800,0.00120,0.00338,0.00780,0.119,0.0200
2023-01-07 17:30:00,0.200,0.118,0.682,0.794,0.00120,0.00328,0.00780,0.118,0.0211
2023-01-07 17:45:00,0.222,0.118,0.682,0.797,0.00120,0.00328,0.00760,0.118,0.0210
2023-01-07 18:00:00,0.200,0.117,0.682,0.796,0.00120,0.00336,0.00790,0.117,0.0211
2023-01-07 18:15:00,0.200,0.117,0.683,0.802,0.00120,0.00350,0.00780,0.117,0.0205
2023-01-07 18:30:00,0.200,0.118,0.683,0.799,0.00120,0.00340,0.00770,0.118,0.0210
2023-01-07 18:45:00,0.200,0.120,0.683,0.805,0.00120,0.00320,0.00740,0.120,0.0205
2023-01-07 19:00:00,0.222,0.123,0.683,0.807,0.00120,0.00320,0.00760,0.123,0.0196
2023-01-07 19:15:00,0.222,0.125,0.683,0.770,0.00120,0.00328,0.00760,0.125,0.0199
2023-01-07 19:30:00,0.200,0.120,0.681,0.766,0.00120,0.00324,0.00780,0.120,0.0201
2023-01-07 19:45:00,0.200,0.118,0.681,0.773,0.00120,0.00324,0.00670,0.118,0.0211
2023-01-07 20:00:00,0.200,0.120,0.681,0.773,0.00120,0.00326,0.00710,0.120,0.0210
2023-01-07 20:15:00,0.200,0.119,0.682,0.779,0.00120,0.00338,0.00760,0.119,0.0212
2023-01-07 20:30:00,0.182,0.126,0.682,0.779,0.00120,0.00324,0.00760,0.126,0.0213

