source,cpu,mem,lat
u: 0532,0.4273042870667766,0.7657478700350672,0.028697642817713927
u: 0x00,0.4256551651185987,0.7640831422109716,0.028548819323469293
u: 12-tp9d,0.42619701975852936,0.766558495918066,0.028754716158177165
u: 234x,0.42864616101487935,0.7651992240198165,0.0288388197655354
u: 4148,0.4267010262074418,0.7643915896513991,0.028708993372894967
u: 4rz0,0.42940357887191805,0.7668730728039005,0.02943518471377263
u: 7x6r3n7o,0.4550988976479504,0.7394706346460713,0.04059150851679123
u: AZaviruha,0.5072248791304319,0.7332364475747513,0.044633651174951404
u: AbhijeetSG,0.4413389702854683,0.7638702742432351,0.029838756184069056
u: AdityaGupta1,0.4437781066902855,0.7619933968668096,0.03059852188429223
u: AdrieanKhisbe,0.4279751883053482,0.7643601804387391,0.02870971016394713
u: Aeden-B,0.43172436436511896,0.7643355098878377,0.02894439111499133
u: AgtLucas,0.43384993401960525,0.7639603579942592,0.02927522010235466
u: Akamig,0.4246374734352123,0.7650691962838362,0.02862832673210934
u: AlecAivazis,0.42605611918518915,0.7642732203815701,0.02856988224334331
u: AlexBischof,0.4277172399379681,0.76417462666255,0.028714667507555375
u: AlfonZ42,0.45347068370137666,0.7576639425081318,0.031554307217213966
u: AmaanC,0.4223661348667651,0.7645435019798608,0.029925311268424636
u: AnatoliyGatt,0.4274299578729551,0.7644037889891104,0.028680709031008535
u: Andre113,0.4137222222222227,0.7289948619993949,0.043689769987620086
u: AndresSaa,0.42885143081741284,0.7644087818663343,0.028759070046577944
u: AndrewRussellHayes,0.60988888888889,0.7300755866615021,0.04189651741293509
u: AndrewSpeed,0.42593319277460706,0.7629105540761132,0.02874901348811834
u: AndroCurious,0.43212239179255013,0.7637532825616143,0.029265637782679755
u: AndyWendt,0.43474212720493804,0.7617555979807198,0.03229742168628938
u: Arakaki,0.42513644735871303,0.7629853880536869,0.028562849283743745
u: Aranjedeath,0.429249017671818,0.7612570000632277,0.028905733256142145
u: Arkotek,0.42165552500217146,0.7627336545234921,0.028735121033177765
u: Arood,0.42898316604900616,0.764827276231635,0.028807603627057442
u: ArthurHoaro,0.42538310313321187,0.7649857996500469,0.028599913583151036
u: Astalaseven,0.4601949960972912,0.7495007063497208,0.03413122124027695
u: Asterodeia,0.42392590315625234,0.764117285116227,0.028519587710386658
u: Awk34,0.4269498073379303,0.7649617112046592,0.028584627587696847
u: Azerothian,0.49255555555555486,0.7352397060113522,0.0412406159769008
u: Badarinath-Sharma,0.4317846090157057,0.7644599521446367,0.028919764029225397
u: Banandana,0.42971432326198594,0.7624629970457041,0.0287428839664619
u: BasixKOR,0.4277482006301616,0.7653111684870252,0.02870771234739634
u: Beluria,0.5346296296296286,0.728614415378717,0.041312000250318635
u: Benderx2,0.42795157354396124,0.7654512572974831,0.0287161346263154
u: Benjaminhu,0.52061111111111,0.7312341747511574,0.04997696476964775
u: BernardTatin,0.48857620893142406,0.7302211548521143,0.04352012738775614
u: BernhardBezdek,0.4456779442115755,0.7581874667150275,0.03132084346484098
u: Beyondem,0.422529330943968,0.7579027950742148,0.02941340141529764
u: Blue-Pencil,0.4335882931124335,0.7625716229718608,0.029975971778450808
u: BlurryRoots,0.5414259259259258,0.72876307867393,0.041829902850200266
u: BodySplash,0.43024183109307546,0.7643125425271944,0.02883522479613858
